crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-52.425568	631	0.000000
281474976710655.000000	-65.825256	632	0.000000
281474976710655.000000	-48.747402	633	0.000000
281474976710655.000000	-51.803932	634	0.000000
281474976710655.000000	-49.101360	635	0.000000
281474976710655.000000	-48.875957	636	0.000000
281474976710655.000000	-48.326134	637	0.000000
281474976710655.000000	-32.018623	638	0.000000
281474976710655.000000	-53.215931	639	0.000000
281474976710655.000000	-49.552643	640	0.000000
281474976710655.000000	-46.840736	641	0.000000
281474976710655.000000	-52.843891	642	0.000000
281474976710655.000000	-51.730835	643	0.000000
281474976710655.000000	-64.374992	644	0.000000
281474976710655.000000	-48.345417	645	0.000000
281474976710655.000000	-40.170895	646	0.000000
281474976710655.000000	-64.440247	647	0.000000
281474976710655.000000	-39.611618	648	0.000000
281474976710655.000000	-48.428894	649	0.000000
281474976710655.000000	-39.515247	650	0.000000
281474976710655.000000	-48.270039	651	0.000000
281474976710655.000000	-46.940670	652	0.000000
281474976710655.000000	-47.797192	653	0.000000
281474976710655.000000	-46.643196	654	0.000000
281474976710655.000000	-47.134979	655	0.000000
281474976710655.000000	-46.650810	656	0.000000
281474976710655.000000	-45.764160	657	0.000000
281474976710655.000000	-46.814217	658	0.000000
281474976710655.000000	-48.094040	659	0.000000
281474976710655.000000	-44.230072	660	0.000000
281474976710655.000000	-47.913898	661	0.000000
281474976710655.000000	-61.106441	662	0.000000
281474976710655.000000	-52.610432	663	0.000000
281474976710655.000000	-45.570431	664	0.000000
281474976710655.000000	-51.753399	665	0.000000
281474976710655.000000	-46.630093	666	0.000000
281474976710655.000000	-46.742264	667	0.000000
281474976710655.000000	-37.987762	668	0.000000
281474976710655.000000	-46.040524	669	0.000000
281474976710655.000000	-69.900246	670	0.000000
281474976710655.000000	-35.170002	671	0.000000
281474976710655.000000	-39.490105	672	0.000000
281474976710655.000000	-50.649632	673	0.000000
281474976710655.000000	-49.798634	674	0.000000
281474976710655.000000	-35.369370	675	0.000000
281474976710655.000000	-44.987446	676	0.000000
281474976710655.000000	-35.207798	677	0.000000
281474976710655.000000	-43.998894	678	0.000000
281474976710655.000000	-45.103546	679	0.000000
281474976710655.000000	-49.693520	680	0.000000
281474976710655.000000	-44.486443	681	0.000000
281474976710655.000000	-42.183487	682	0.000000
281474976710655.000000	-48.651989	683	0.000000
281474976710655.000000	-57.384483	684	0.000000
281474976710655.000000	-45.373016	685	0.000000
281474976710655.000000	-42.167122	686	0.000000
281474976710655.000000	-43.916489	687	0.000000
281474976710655.000000	-42.407185	688	0.000000
281474976710655.000000	-47.992485	689	0.000000
281474976710655.000000	-41.212917	690	0.000000
281474976710655.000000	-43.610909	691	0.000000
281474976710655.000000	-36.136005	692	0.000000
281474976710655.000000	-34.813606	693	0.000000
281474976710655.000000	-41.393570	694	0.000000
281474976710655.000000	-43.397228	695	0.000000
281474976710655.000000	-42.772362	696	0.000000
281474976710655.000000	-42.886627	697	0.000000
281474976710655.000000	-42.989498	698	0.000000
281474976710655.000000	-35.638653	699	0.000000
281474976710655.000000	-35.715351	700	0.000000
281474976710655.000000	-47.053776	701	0.000000
281474976710655.000000	-43.902466	702	0.000000
281474976710655.000000	-35.236652	703	0.000000
281474976710655.000000	-42.229164	704	0.000000
281474976710655.000000	-42.051529	705	0.000000
281474976710655.000000	-46.484344	706	0.000000
281474976710655.000000	-46.511635	707	0.000000
281474976710655.000000	-39.677399	708	0.000000
281474976710655.000000	-42.904655	709	0.000000
281474976710655.000000	-39.840000	710	0.000000
281474976710655.000000	-41.522163	711	0.000000
281474976710655.000000	-34.388874	712	0.000000
281474976710655.000000	-41.610001	713	0.000000
281474976710655.000000	-50.945835	714	0.000000
281474976710655.000000	-32.683178	715	0.000000
281474976710655.000000	-45.279789	716	0.000000
281474976710655.000000	-36.320423	717	0.000000
281474976710655.000000	-34.276890	718	0.000000
281474976710655.000000	-41.982365	719	0.000000
281474976710655.000000	-44.444511	720	0.000000
281474976710655.000000	-36.246750	721	0.000000
281474976710655.000000	-40.938690	722	0.000000
281474976710655.000000	-41.101673	723	0.000000
281474976710655.000000	-41.390518	724	0.000000
281474976710655.000000	-40.768681	725	0.000000
281474976710655.000000	-36.423218	726	0.000000
281474976710655.000000	-40.650616	727	0.000000
281474976710655.000000	-40.283417	728	0.000000
281474976710655.000000	-35.586647	729	0.000000
281474976710655.000000	-48.948803	730	0.000000
281474976710655.000000	-35.212414	731	0.000000
281474976710655.000000	-37.474976	732	0.000000
281474976710655.000000	-33.758064	733	0.000000
281474976710655.000000	-37.737076	734	0.000000
281474976710655.000000	-42.463928	735	0.000000
281474976710655.000000	-39.307789	736	0.000000
281474976710655.000000	-37.994102	737	0.000000
281474976710655.000000	-32.845150	738	0.000000
281474976710655.000000	-40.909863	739	0.000000
281474976710655.000000	-33.036068	740	0.000000
281474976710655.000000	-40.446953	741	0.000000
281474976710655.000000	-37.355270	742	0.000000
281474976710655.000000	-52.072819	743	0.000000
281474976710655.000000	-34.549328	744	0.000000
281474976710655.000000	-35.809032	745	0.000000
281474976710655.000000	-39.084080	746	0.000000
281474976710655.000000	-39.541534	747	0.000000
281474976710655.000000	-43.375656	748	0.000000
281474976710655.000000	-39.096794	749	0.000000
281474976710655.000000	-40.462933	750	0.000000
281474976710655.000000	-34.205585	751	0.000000
281474976710655.000000	-34.299339	752	0.000000
281474976710655.000000	-47.983925	753	0.000000
281474976710655.000000	-37.237774	754	0.000000
281474976710655.000000	-42.833767	755	0.000000
281474976710655.000000	-36.696415	756	0.000000
281474976710655.000000	-40.072403	757	0.000000
281474976710655.000000	-39.863667	758	0.000000
281474976710655.000000	-36.277496	759	0.000000
281474976710655.000000	-42.696995	760	0.000000
281474976710655.000000	-31.366304	761	0.000000
281474976710655.000000	-38.371906	762	0.000000
